07-1994;6.84
08-1994;1.86
09-1994;1.53
10-1994;2.62
11-1994;2.81
12-1994;1.71
01-1995;1.70
02-1995;1.02
03-1995;1.55
04-1995;2.43
05-1995;2.67
06-1995;2.26
07-1995;2.36
08-1995;0.99
09-1995;0.99
10-1995;1.41
11-1995;1.47
12-1995;1.56
01-1996;1.34
02-1996;1.03
03-1996;0.35
04-1996;1.26
05-1996;1.22
06-1996;1.19
07-1996;1.11
08-1996;0.44
09-1996;0.15
10-1996;0.30
11-1996;0.32
12-1996;0.47
01-1997;1.18
02-1997;0.50
03-1997;0.51
04-1997;0.88
05-1997;0.41
06-1997;0.54
07-1997;0.22
08-1997;-0.02
09-1997;0.06
10-1997;0.23
11-1997;0.17
12-1997;0.43
01-1998;0.71
02-1998;0.46
03-1998;0.34
04-1998;0.24
05-1998;0.50
06-1998;0.02
07-1998;-0.12
08-1998;-0.51
09-1998;-0.22
10-1998;0.02
11-1998;-0.12
12-1998;0.33
01-1999;0.70
02-1999;1.05
03-1999;1.10
04-1999;0.56
05-1999;0.30
06-1999;0.19
07-1999;1.09
08-1999;0.56
09-1999;0.31
10-1999;1.19
11-1999;0.95
12-1999;0.60
01-2000;0.62
02-2000;0.13
03-2000;0.22
04-2000;0.42
05-2000;0.01
06-2000;0.23
07-2000;1.61
08-2000;1.31
09-2000;0.23
10-2000;0.14
11-2000;0.32
12-2000;0.59
01-2001;0.57
02-2001;0.46
03-2001;0.38
04-2001;0.58
05-2001;0.41
06-2001;0.52
07-2001;1.33
08-2001;0.70
09-2001;0.28
10-2001;0.83
11-2001;0.71
12-2001;0.65
01-2002;0.52
02-2002;0.36
03-2002;0.60
04-2002;0.80
05-2002;0.21
06-2002;0.42
07-2002;1.19
08-2002;0.65
09-2002;0.72
10-2002;1.31
11-2002;3.02
12-2002;2.10
01-2003;2.25
02-2003;1.57
03-2003;1.23
04-2003;0.97
05-2003;0.61
06-2003;-0.15
07-2003;0.20
08-2003;0.34
09-2003;0.78
10-2003;0.29
11-2003;0.34
12-2003;0.52
01-2004;0.76
02-2004;0.61
03-2004;0.47
04-2004;0.37
05-2004;0.51
06-2004;0.71
07-2004;0.91
08-2004;0.69
09-2004;0.33
10-2004;0.44
11-2004;0.69
12-2004;0.86
01-2005;0.58
02-2005;0.59
03-2005;0.61
04-2005;0.87
05-2005;0.49
06-2005;-0.02
07-2005;0.25
08-2005;0.17
09-2005;0.35
10-2005;0.75
11-2005;0.55
12-2005;0.36
01-2006;0.59
02-2006;0.41
03-2006;0.43
04-2006;0.21
05-2006;0.10
06-2006;-0.21
07-2006;0.19
08-2006;0.05
09-2006;0.21
10-2006;0.33
11-2006;0.31
12-2006;0.48
01-2007;0.44
02-2007;0.44
03-2007;0.37
04-2007;0.25
05-2007;0.28
06-2007;0.28
07-2007;0.24
08-2007;0.47
09-2007;0.18
10-2007;0.30
11-2007;0.38
12-2007;0.74
01-2008;0.54
02-2008;0.49
03-2008;0.48
04-2008;0.55
05-2008;0.79
06-2008;0.74
07-2008;0.53
08-2008;0.28
09-2008;0.26
10-2008;0.45
11-2008;0.36
12-2008;0.28
01-2009;0.48
02-2009;0.55
03-2009;0.20
04-2009;0.48
05-2009;0.47
06-2009;0.36
07-2009;0.24
08-2009;0.15
09-2009;0.24
10-2009;0.28
11-2009;0.41
12-2009;0.37
01-2010;0.75
02-2010;0.78
03-2010;0.52
04-2010;0.57
05-2010;0.43
06-2010;0.00
07-2010;0.01
08-2010;0.04
09-2010;0.45
10-2010;0.75
11-2010;0.83
12-2010;0.63
01-2011;0.83
02-2011;0.80
03-2011;0.79
04-2011;0.77
05-2011;0.47
06-2011;0.15
07-2011;0.16
08-2011;0.37
09-2011;0.53
10-2011;0.43
11-2011;0.52
12-2011;0.50
01-2012;0.56
02-2012;0.45
03-2012;0.21
04-2012;0.64
05-2012;0.36
06-2012;0.08
07-2012;0.43
08-2012;0.41
09-2012;0.57
10-2012;0.59
11-2012;0.60
12-2012;0.79
01-2013;0.86
02-2013;0.60
03-2013;0.47
04-2013;0.55
05-2013;0.37
06-2013;0.26
07-2013;0.03
08-2013;0.24
09-2013;0.35
10-2013;0.57
11-2013;0.54
12-2013;0.92
01-2014;0.55
02-2014;0.69
03-2014;0.92
04-2014;0.67
05-2014;0.46
06-2014;0.40
07-2014;0.01
08-2014;0.25
09-2014;0.57
10-2014;0.42
11-2014;0.51
12-2014;0.78
01-2015;1.24
02-2015;1.22
03-2015;1.32
04-2015;0.71
05-2015;0.74
06-2015;0.79
07-2015;0.62
08-2015;0.22
09-2015;0.54
10-2015;0.82
11-2015;1.01
12-2015;0.96
01-2016;1.27
02-2016;0.90
03-2016;0.43
04-2016;0.61
05-2016;0.78
06-2016;0.35
07-2016;0.52
08-2016;0.44
09-2016;0.08
10-2016;0.26
11-2016;0.18
12-2016;0.30
01-2017;0.38
02-2017;0.33
03-2017;0.25
04-2017;0.14
05-2017;0.31
06-2017;-0.23
07-2017;0.24
08-2017;0.19
09-2017;0.16
10-2017;0.42
11-2017;0.28
12-2017;0.44
01-2018;0.29
02-2018;0.32
03-2018;0.09
04-2018;0.22
05-2018;0.40
06-2018;1.26
07-2018;0.33
08-2018;-0.09
09-2018;0.48
